SourceTableName	TargetSchemaName	TargetTableName	PgInsert	KeyColumn(s)
V_Mage_FPkg_Data_Package_Analysis_Jobs	public	<skip>
V_Mage_FPkg_Data_Package_Datasets	public	<skip>
V_Mage_FPkg_Dataset_List	public	<skip>
V_Mage_OSM_Package_All_File_Attachments	public	<skip>
V_PDB_Organism_List_For_Tree	public	<skip>
V_PDE_All_Completed_Analysis_Jobs_Ext	public	<skip>
V_PDE_Analysis_Jobs	public	<skip>
V_PDE_Analysis_Jobs_Ext	public	<skip>
V_PDE_Filter_Criteria	public	<skip>
V_PDE_Filter_Criteria_Tmp	public	<skip>
V_PDE_Filter_Sets	public	<skip>
V_PDE_XT_Analysis_Jobs_Ext	public	<skip>
V_Protein_Collection_Archived_Output_Files	public	<skip>
V_Req_Run_Instrument_Picklist	public	<skip>
V_Request_count_by_day	public	<skip>
V_RequestAnalysisJob	public	<skip>
V_RequestAnalysisJobEx5	public	<skip>
V_RequestAnalysisResultsTask	public	<skip>
V_RequestArchiveTask	public	<skip>
V_RequestArchiveUpdateTask	public	<skip>
V_RequestDataExtractionTaskParams	public	<skip>
V_Requested_Run_Batch_Members_List_Report	public	<skip>
V_RequestPurgeTask	public	<skip>
V_Restore_Requests	public	<skip>
V_Sample_Prep_New_Requests_24Hrs	public	<skip>
V_Sample_Prep_Assignments_24Hrs	public	<skip>
V_Scheduled_Run_Export	public	<skip>
V_Sequest_Params_By_File	public	<skip>
V_SysJobs_History	public	<skip>
V_SysJobs_Stats	public	<skip>
V_Table_Index_Sizes	public	<skip>
V_Table_Row_Counts	public	<skip>
V_Table_Size_Summary	public	<skip>
V_Table_Sizes	public	<skip>
V_Tmp_Purgable_Datasets	public	<skip>
V_Tmp_Purgable_Datasets_NoInterest	public	<skip>
V_Tmp_Purgable_Datasets_NoInterest_NoRecentJob	public	<skip>
V_Tmp_Purgable_Datasets_NoJob	public	<skip>
V_Tuning_Active_Sessions	public	<skip>
V_Tuning_Database_Access_Stats	public	<skip>
V_Tuning_Exec_Requests	public	<skip>
V_Tuning_Index_Usage	public	<skip>
V_Tuning_Missing_Indices	public	<skip>
V_Tuning_Query_Execution_Stats	public	<skip>
V_Tuning_Query_Execution_Stats_With_Plan_Stats	public	<skip>
V_Tuning_Sessions	public	<skip>
V_Tuning_Unused_Indices	public	<skip>
V_Unpurge_Requests	public	<skip>
V_Users_NWFs_Samba	public	<skip>
